城市,普中全市,普中市辖区,普小全市,普小市辖区
北京市,654,654,941,941
天津市,527,527,877,877
河北省,,,,
  石家庄市,422,157,1445,514
  唐山市,334,127,1134,391
  秦皇岛市,159,87,421,161
  邯郸市,420,150,1799,536
  邢台市,285,43,1034,119
  保定市,486,121,2141,410
  张家口市,154,62,496,206
  承德市,127,25,452,58
  沧州市,322,20,1333,56
  廊坊市,195,26,765,132
  衡水市,180,54,584,92
山西省,,,,
  太原市,227,176,448,285
  大同市,201,107,348,176
  阳泉市,82,38,236,61
  长治市,206,95,503,224
  晋城市,157,32,419,63
  朔州市,86,35,166,49
  晋中市,234,39,654,102
  运城市,305,55,771,83
  忻州市,228,34,423,89
  临汾市,261,59,778,125
  吕梁市,290,23,566,49
内蒙古自治区,,,,
  呼和浩特市,115,75,200,110
  包头市,97,84,138,106
  乌海市,22,22,24,24
  赤峰市,143,53,394,111
  通辽市,141,24,221,36
  鄂尔多斯市,74,26,139,39
  呼伦贝尔市,159,24,136,22
  巴彦淖尔市,49,16,95,29
  乌兰察布市,72,21,118,25
辽宁省,,,,
  沈阳市,303,246,279,241
  大连市,297,213,419,290
  鞍山市,156,63,375,63
  抚顺市,105,61,106,54
  本溪市,59,38,62,33
  丹东市,125,39,310,74
  锦州市,129,42,265,48
  营口市,101,40,116,50
  阜新市,94,39,67,34
  辽阳市,76,37,107,34
  盘锦市,68,52,32,29
  铁岭市,126,24,176,28
  朝阳市,164,31,410,81
  葫芦岛市,131,42,332,75
吉林省,,,,
  长春市,348,202,1006,377
  吉林市,185,75,553,131
  四平市,186,28,828,75
  辽源市,61,17,165,36
  通化市,131,19,179,32
  白山市,105,35,122,37
  松原市,149,28,677,88
  白城市,120,30,97,13
黑龙江省,,,,
  哈尔滨市,448,248,415,240
  齐齐哈尔市,246,69,181,60
  鸡西市,98,30,63,20
  鹤岗市,51,26,36,21
  双鸭山市,92,24,67,10
  大庆市,146,76,157,85
  伊春市,52,33,48,25
  佳木斯市,128,40,119,33
  七台河市,40,26,32,17
  牡丹江市,116,35,116,39
  黑河市,91,18,67,10
  绥化市,258,33,167,36
上海市,842,842,698,698
江苏省,,,,
  南京市,246,246,373,373
  无锡市,192,100,210,111
  徐州市,353,127,930,276
  常州市,165,132,223,179
  苏州市,315,164,424,217
  南通市,210,64,330,93
  连云港市,185,81,448,175
  淮安市,201,119,241,135
  盐城市,292,106,335,104
  扬州市,161,87,208,99
  镇江市,109,44,113,48
  泰州市,182,61,147,49
  宿迁市,193,53,170,50
浙江省,,,,
  杭州市,356,296,489,390
  宁波市,309,161,427,193
  温州市,442,98,568,137
  嘉兴市,166,54,150,27
  湖州市,119,50,128,48
  绍兴市,189,85,324,151
  金华市,251,62,392,73
  衢州市,90,30,206,40
  舟山市,42,33,54,37
  台州市,281,85,367,83
  丽水市,100,22,205,19
安徽省,,,,
  合肥市,340,130,510,155
  芜湖市,217,80,283,127
  蚌埠市,182,55,629,127
  淮南市,191,97,448,189
  马鞍山市,105,34,218,60
  淮北市,124,74,295,122
  铜陵市,83,48,212,104
  安庆市,307,43,695,76
  黄山市,114,34,131,36
  滁州市,270,30,225,33
  阜阳市,433,114,1354,343
  宿州市,256,76,782,250
  六安市,340,133,568,236
  亳州市,302,68,1106,265
  池州市,98,42,189,75
  宣城市,151,47,147,48
福建省,,,,
  福州市,326,126,893,292
  厦门市,100,100,296,296
  莆田市,142,89,569,373
  三明市,155,15,233,17
  泉州市,329,51,1331,161
  漳州市,208,31,827,85
  南平市,165,41,299,77
  龙岩市,172,60,407,140
  宁德市,173,30,275,31
江西省,,,,
  南昌市,294,195,455,206
  景德镇市,101,26,328,35
  萍乡市,109,41,360,132
  九江市,288,52,576,85
  新余市,37,31,84,76
  鹰潭市,90,43,211,110
  赣州市,480,102,1569,338
  吉安市,319,27,660,84
  宜春市,259,50,804,189
  抚州市,227,83,648,308
  上饶市,467,126,1633,447
山东省,,,,
  济南市,312,277,683,604
  青岛市,327,210,720,477
  淄博市,188,130,296,184
  枣庄市,134,86,503,296
  东营市,105,76,106,71
  烟台市,269,81,295,125
  潍坊市,362,89,731,168
  济宁市,316,79,1054,157
  泰安市,207,77,512,170
